key,name
632,丁學忠
633,丁學忠
634,丁學忠
635,丁學忠
636,丁學忠
638,丁學忠
651,丁學忠
652,丁學忠
653,丁學忠
654,丁學忠
655,丁學忠
不分區,陳昭姿
不分區,麥玉珍
330,牛煦庭
333,牛煦庭
338,牛煦庭
103,王世堅
111,王世堅
不分區,王育敏
701,王定宇
711,王定宇
717,王定宇
718,王定宇
719,王定宇
104,王鴻薇
105,王鴻薇
山地原住民,伍麗華Saidhai‧Tahovecahe
411,何欣純
412,何欣純
100,吳沛憶
108,吳沛憶
不分區,吳宗憲
111,吳思瑤
112,吳思瑤
114,李彥秀
115,李彥秀
811,李柏毅
813,李柏毅
不分區,沈發惠
不分區,林月琴
200,林沛祥
201,林沛祥
202,林沛祥
203,林沛祥
204,林沛祥
205,林沛祥
206,林沛祥
814,林岱樺
831,林岱樺
832,林岱樺
833,林岱樺
700,林俊憲
701,林俊憲
702,林俊憲
708,林俊憲
302,林思銘
308,林思銘
310,林思銘
311,林思銘
312,林思銘
314,林思銘
315,林思銘
不分區,林國成
241,林淑芬
247,林淑芬
248,林淑芬
不分區,林楚茵
820,邱志偉
821,邱志偉
825,邱志偉
826,邱志偉
827,邱志偉
828,邱志偉
829,邱志偉
852,邱志偉
351,邱鎮軍
353,邱鎮軍
354,邱鎮軍
360,邱鎮軍
362,邱鎮軍
363,邱鎮軍
364,邱鎮軍
365,邱鎮軍
367,邱鎮軍
369,邱鎮軍
815,邱議瑩
822,邱議瑩
823,邱議瑩
824,邱議瑩
840,邱議瑩
842,邱議瑩
843,邱議瑩
844,邱議瑩
845,邱議瑩
846,邱議瑩
847,邱議瑩
848,邱議瑩
849,邱議瑩
851,邱議瑩
不分區,柯志恩
243,洪孟楷
244,洪孟楷
249,洪孟楷
251,洪孟楷
252,洪孟楷
253,洪孟楷
不分區,范雲
105,徐巧芯
110,徐巧芯
302,徐欣瑩
303,徐欣瑩
304,徐欣瑩
305,徐欣瑩
306,徐欣瑩
307,徐欣瑩
313,徐欣瑩
911,徐富癸
913,徐富癸
920,徐富癸
921,徐富癸
922,徐富癸
923,徐富癸
924,徐富癸
925,徐富癸
926,徐富癸
927,徐富癸
928,徐富癸
929,徐富癸
931,徐富癸
932,徐富癸
940,徐富癸
941,徐富癸
942,徐富癸
943,徐富癸
944,徐富癸
945,徐富癸
946,徐富癸
947,徐富癸
326,涂權吉
327,涂權吉
328,涂權吉
337,涂權吉
541,馬文君
542,馬文君
544,馬文君
545,馬文君
546,馬文君
555,馬文君
山地原住民,高金素梅
220,張宏陸
235,張智倫
不分區,莊瑞雄
不分區,郭昱晴
713,郭國文
714,郭國文
715,郭國文
716,郭國文
720,郭國文
721,郭國文
722,郭國文
723,郭國文
724,郭國文
741,郭國文
742,郭國文
743,郭國文
745,郭國文
504,陳秀寳
505,陳秀寳
506,陳秀寳
507,陳秀寳
508,陳秀寳
509,陳秀寳
260,陳俊宇
261,陳俊宇
262,陳俊宇
263,陳俊宇
264,陳俊宇
265,陳俊宇
266,陳俊宇
267,陳俊宇
268,陳俊宇
269,陳俊宇
270,陳俊宇
272,陳俊宇
602,陳冠廷
603,陳冠廷
604,陳冠廷
605,陳冠廷
606,陳冠廷
607,陳冠廷
616,陳冠廷
621,陳冠廷
622,陳冠廷
623,陳冠廷
510,陳素月
511,陳素月
512,陳素月
515,陳素月
520,陳素月
522,陳素月
530,陳素月
不分區,陳培瑜
209,陳雪生
210,陳雪生
211,陳雪生
212,陳雪生
不分區,陳菁徽
平地原住民,陳瑩
970,傅崐萁
971,傅崐萁
972,傅崐萁
973,傅崐萁
974,傅崐萁
975,傅崐萁
976,傅崐萁
977,傅崐萁
978,傅崐萁
979,傅崐萁
981,傅崐萁
982,傅崐萁
983,傅崐萁
不分區,游錫堃
540,游顥
551,游顥
552,游顥
553,游顥
556,游顥
557,游顥
558,游顥
平地原住民,黃仁
950,黃建賓
951,黃建賓
952,黃建賓
953,黃建賓
954,黃建賓
955,黃建賓
956,黃建賓
957,黃建賓
958,黃建賓
959,黃建賓
961,黃建賓
962,黃建賓
963,黃建賓
964,黃建賓
965,黃建賓
966,黃建賓
不分區,黃珊珊
404,黃健豪
406,黃健豪
不分區,黃國昌
880,楊曜
881,楊曜
882,楊曜
883,楊曜
884,楊曜
885,楊曜
421,楊瓊瓔
427,楊瓊瓔
428,楊瓊瓔
429,楊瓊瓔
220,葉元之
不分區,葛如鈞
207,廖先翔
208,廖先翔
221,廖先翔
224,廖先翔
226,廖先翔
227,廖先翔
228,廖先翔
407,廖偉翔
408,廖偉翔
435,蔡其昌
436,蔡其昌
437,蔡其昌
438,蔡其昌
439,蔡其昌
608,蔡易餘
611,蔡易餘
612,蔡易餘
613,蔡易餘
614,蔡易餘
615,蔡易餘
624,蔡易餘
625,蔡易餘
平地原住民,"鄭天財Sra Kacaw"
300,鄭正鈐
320,魯明哲
山地原住民,盧縣一
513,謝衣鳯
514,謝衣鳯
516,謝衣鳯
521,謝衣鳯
523,謝衣鳯
524,謝衣鳯
525,謝衣鳯
526,謝衣鳯
527,謝衣鳯
528,謝衣鳯
不分區,謝龍介
不分區,韓國瑜
413,顏寬恒
414,顏寬恒
432,顏寬恒
433,顏寬恒
434,顏寬恒
400,羅廷瑋
401,羅廷瑋
402,羅廷瑋
403,羅廷瑋
222,羅明才
223,羅明才
231,羅明才
232,羅明才
233,羅明才
不分區,羅美玲
106,羅智強
238,蘇巧慧
239,蘇巧慧
242,蘇巧慧
不分區,蘇清泉
324,呂玉玲
325,呂玉玲
241,李坤城
不分區,林憶君
不分區,洪申翰
不分區,王正旭
350,陳超明
352,陳超明
356,陳超明
357,陳超明
358,陳超明
361,陳超明
366,陳超明
368,陳超明
242,吳秉叡
不分區,吳春城
802,李昆澤
807,李昆澤
234,林德福
235,林德福
不分區,柯建銘
不分區,張嘉郡
不分區,陳永康
800,黃捷
801,黃捷
802,黃捷
803,黃捷
804,黃捷
330,萬美玲
630,劉建國
631,劉建國
637,劉建國
640,劉建國
643,劉建國
646,劉建國
647,劉建國
648,劉建國
649,劉建國
100,賴士葆
116,賴士葆
805,賴瑞隆
806,賴瑞隆
812,賴瑞隆
236,吳琪銘
237,吳琪銘
710,林宜瑾
712,林宜瑾
744,林宜瑾
320,邱若華
334,邱若華
335,邱若華
336,邱若華
704,陳亭妃
709,陳亭妃
500,黃秀芳
502,黃秀芳
503,黃秀芳
830,許智傑
900,鍾佳濱
901,鍾佳濱
902,鍾佳濱
903,鍾佳濱
904,鍾佳濱
905,鍾佳濱
906,鍾佳濱
907,鍾佳濱
908,鍾佳濱
909,鍾佳濱
912,鍾佳濱
420,江啟臣
422,江啟臣
423,江啟臣
424,江啟臣
426,江啟臣
不分區,翁曉玲
600,王美惠
不分區,沈伯洋
不分區,林倩綺
不分區,張啓楷
不分區,張雅琳
不分區,許宇甄
890,陳玉珍
891,陳玉珍
892,陳玉珍
893,陳玉珍
894,陳玉珍
896,陳玉珍
725,賴惠員
726,賴惠員
727,賴惠員
730,賴惠員
731,賴惠員
732,賴惠員
733,賴惠員
734,賴惠員
735,賴惠員
736,賴惠員
737,賴惠員
